Model No,Make,Model,Variant,Ex_Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,City_Mileage,Gears,Front_Brakes,Rear_Brakes,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Speedometer,Seating_Capacity,Aux-in_Compatibility,Basic_Warranty,Handbrake,Sale_per_year,warranty,Model_year
1,Tata,Nano Genx,Xt,6560523,624 cc,2,24 litres,Petrol,23.6 km/litre,4,Drum,Drum,135/70R12,155/65R12,Analog,4,Yes,2 years /75000 Kms (years/distance whichever comes first),Manual,8771,2,2017
2,Tata,Nano Genx,Xe,3507357,624 cc,2,24 litres,Petrol,23.6 km/litre,4,Drum,Drum,135/70R12,155/65R12,Analog,4,No,2 years /75000 Kms (years/distance whichever comes first),Manual,1235,3,2017
3,Tata,Nano Genx,Emax Xm,3309436,624 cc,2,15 litres,CNG,23 km/litre,4,Drum,Drum,135/70R12,155/65R12,Analog,4,No,2 years /75000 Kms (years/distance whichever comes first),Manual,2496,3,2011
4,Tata,Nano Genx,Xta,2854812,624 cc,2,24 litres,Petrol,23.6 km/litre,5,Drum,Drum,135/70R12,155/65R12,Analog,4,Yes,2 years /75000 Kms (years/distance whichever comes first),Manual,7297,3,2010
5,Tata,Nano Genx,Xm,1105607,624 cc,2,24 litres,Petrol,23.6 km/litre,4,Drum,Drum,135/70R12,155/65R12,Analog,4,No,2 years /75000 Kms (years/distance whichever comes first),Manual,6767,5,2010
6,Tata,Nano Genx,Xma,2571536,624 cc,2,24 litres,Petrol,23.6 km/litre,5,Drum,Drum,135/70R12,155/65R12,Analog,4,No,2 years /75000 Kms (years/distance whichever comes first),Manual,2419,3,2021
7,Datsun,Redi-Go,D,9898782,799 cc,3,28 litres,Petrol,21.38 km/litre,5,Ventilated Disc,Drum,80/155R13,80/155R13,Analog,5,No,2 years / Unlimited Kms,Manual,3880,4,2011
8,Datsun,Redi-Go,T,4566389,799 cc,3,28 litres,Petrol,21.38 km/litre,5,Ventilated Disc,Drum,80/155R13,80/155R13,Analog,5,Yes,2 years / Unlimited Kms,Manual,5842,3,2017
9,Datsun,Redi-Go,A,1019985,799 cc,3,28 litres,Petrol,21.38 km/litre,5,Ventilated Disc,Drum,80/155R13,80/155R13,Analog,5,No,2 years / Unlimited Kms,Manual,4800,2,2022
10,Datsun,Redi-Go,S,7957057,799 cc,3,28 litres,Petrol,21.38 km/litre,5,Ventilated Disc,Drum,80/155R13,80/155R13,Analog,5,Yes,2 years / Unlimited Kms,Manual,2521,3,2016
11,Datsun,Redi-Go,1.0 S,4165066,999 cc,3,28 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,80/155R13,80/155R13,Analog,5,Yes,2 years / Unlimited Kms,Manual,8191,2,2011
12,Datsun,Redi-Go,1.0 S Amt,9648395,999 cc,3,28 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,155/80R13,155/80R13,Analog,5,Yes,2 years / Unlimited Kms,Manual,4191,4,2017
13,Renault,Kwid,Rxe 0.8,6714608,799 cc,3,28 litres,Petrol,25.17 km/litre,6,Ventilated Disc,Drum,165/70 R14,165/70 R14,Digital,5,No,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual,3482,2,2011
14,Renault,Kwid,Std 0.8,1572331,799 cc,3,28 litres,Petrol,25.17 km/litre,5,Ventilated Disc,Drum,165/70 R14,165/70 R14,Digital,5,No,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual,5375,2,2020
15,Renault,Kwid,Rxl 0.8,8226810,799 cc,3,28 litres,Petrol,25.17 km/litre,5,Ventilated Disc,Drum,165/70 R14,165/70 R14,Digital,5,Yes,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual,2345,2,2020
16,Renault,Kwid,Rxt 0.8,1943298,799 cc,3,28 litres,Petrol,25.17 km/litre,5,Ventilated Disc,Drum,165/70 R14,165/70 R14,Digital,5,Yes,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual,9190,3,2014
17,Renault,Kwid,Rxt 1.0,4006925,999 cc,3,28 litres,Petrol,25.17 km/litre,5,Ventilated Disc,Drum,165/70 R14,165/70 R14,Digital,5,Yes,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual,1850,2,2013
18,Renault,Kwid,Climber 1.0 Mt,9987847,999 cc,3,28 litres,Petrol,25.17 km/litre,5,Ventilated Disc,Drum,165/70 R14,165/70 R14,Digital,5,Yes,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual,4175,3,2013
19,Renault,Kwid,Rxt Amt 1.0,3292467,999 cc,3,28 litres,Petrol,25.17 km/litre,4,Ventilated Disc,Drum,165/70 R14,165/70 R14,Digital,5,Yes,No Warranty,Manual,1539,2,2011
20,Renault,Kwid,Climber Amt 1.0,4506892,999 cc,3,28 litres,Petrol,25.17 km/litre,4,Ventilated Disc,Drum,165/70 R14,165/70 R14,Digital,5,Yes,No Warranty,Manual,10666,2,2021
21,Renault,Kwid,Rxt (O) 1.0,9585126,999 cc,3,28 litres,Petrol,25.17 km/litre,5,Ventilated Disc,Drum,165/70 R14,165/70 R14,Digital,5,Yes,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual,2905,5,2020
22,Renault,Kwid,Rxt (O) Amt 1.0,5249045,999 cc,3,28 litres,Petrol,25.17 km/litre,5,Ventilated Disc,Drum,165/70 R14,165/70 R14,Digital,5,Yes,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual,10960,5,2021
23,Renault,Kwid,Climber (O) Mt 1.0,2324021,999 cc,3,28 litres,Petrol,25.17 km/litre,5,Ventilated Disc,Drum,165/70 R14,165/70 R14,Digital,5,Yes,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual,4555,2,2015
24,Renault,Kwid,Climber (O) Amt 1.0,1741796,999 cc,3,28 litres,Petrol,25.17 km/litre,4,Ventilated Disc,Drum,165/70 R14,165/70 R14,Digital,5,Yes,No Warranty,Manual,10356,4,2019
25,Maruti Suzuki,Eeco,5 Str,2480800,1196 cc,4,40 litres,Petrol,12 km/litre,5,Ventilated Disc,Drum,155 R13 LT,155 R13 LT,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,2800,3,2015
26,Maruti Suzuki,Eeco,7 Str,9050401,1196 cc,4,40 litres,Petrol,12 km/litre,5,Ventilated Disc,Drum,155 R13 LT,155 R13 LT,Analog,7,No,2 years /40000 Kms (years/distance whichever comes first),Manual,1749,2,2011
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr,3967825,1196 cc,4,40 litres,Petrol,11 km/litre,5,Ventilated Disc,Drum,155 R13 LT,155 R13 LT,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,2410,5,2018
28,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,2918624,1196 cc,4,40 litres,CNG,23 km/litre,5,Ventilated Disc,Drum,155 R13 LT,155 R13 LT,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,6624,3,2020
29,Maruti Suzuki,Eeco,5 Str With Htr Cng,6663463,1196 cc,4,40 litres,CNG,23 km/litre,5,Ventilated Disc,Drum,155 R13 LT,155 R13 LT,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,9391,3,2016
30,Maruti Suzuki,Alto K10,Lxi,1182759,998 cc,3,35 litres,Petrol,14 km/litre,5,Ventilated Disc,Drum,155/65R13,155/65R13,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,4446,5,2018
